Mês	Colocação	Nome do Livro	Autor
4    	12        	A garota do lago	Charlie Donlea
4    	13        	Os 7 níveis da consciência	Rodrigo Duprat
4    	14        	Emoções financeiras	Thiago Godoy
4    	15        	Minutos de sabedoria	C. Torres Pastorino
4    	16        	Diário de um banana - Um romance em quadrinhos	Jeff Kinney
4    	17        	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
4    	18        	A mandíbula de Caim	Torquemada (Edward Powys Mathers)
4    	19        	Especialista em pessoas	Tiago Brunet
4    	20        	Mentes saudáveis, lares felizes	Augusto Cury / Marcus Araujo
5    	1         	Onde estão as flores	Ilko Minev
